,config,idx,II,Fallback,Instruction latencies,Allocation,Overall latency,Area estimate w/o lifetimes,Area estimate w/ lifetimes,Total lifetime,Total decoupled ops
0,SG_1_SOL_IDX_0,0,1,False,{'CUSTOM0': 3},{},3,1.0,1.0,0.0,0
1,SG_1_SOL_IDX_1,1,1,False,{'CUSTOM0': 4},{},3,1.0,1.0,0.0,0
2,SG_1_SOL_IDX_2,2,2,False,{'CUSTOM0': 4},{},3,1.0,1.0,0.0,0
3,SG_1_SOL_IDX_3,3,1,False,{'CUSTOM0': 5},{},3,1.0,1.0,0.0,0
4,SG_1_SOL_IDX_4,4,3,False,{'CUSTOM0': 5},{},3,1.0,1.0,0.0,0
5,SG_1_SOL_IDX_5,5,2,False,{'CUSTOM0': 6},{},3,1.0,1.0,0.0,0
6,SG_1_SOL_IDX_6,6,4,False,{'CUSTOM0': 6},{},3,1.0,1.0,0.0,0
7,SG_2_SOL_IDX_0,0,1,False,{'CUSTOM1': 3},{},3,1.0,1.0,0.0,0
8,SG_2_SOL_IDX_1,1,1,False,{'CUSTOM1': 4},{},3,1.0,1.0,0.0,0
9,SG_2_SOL_IDX_2,2,2,False,{'CUSTOM1': 4},{},3,1.0,1.0,0.0,0
10,SG_2_SOL_IDX_3,3,1,False,{'CUSTOM1': 5},{},3,1.0,1.0,0.0,0
11,SG_2_SOL_IDX_4,4,3,False,{'CUSTOM1': 5},{},3,1.0,1.0,0.0,0
12,SG_2_SOL_IDX_5,5,2,False,{'CUSTOM1': 6},{},3,1.0,1.0,0.0,0
13,SG_2_SOL_IDX_6,6,4,False,{'CUSTOM1': 6},{},3,1.0,1.0,0.0,0
14,SG_3_SOL_IDX_0,0,1,False,{'CUSTOM2': 3},{},3,1.0,1.0,0.0,0
15,SG_3_SOL_IDX_1,1,1,False,{'CUSTOM2': 4},{},3,1.0,1.0,0.0,0
16,SG_3_SOL_IDX_2,2,2,False,{'CUSTOM2': 4},{},3,1.0,1.0,0.0,0
17,SG_3_SOL_IDX_3,3,1,False,{'CUSTOM2': 5},{},3,1.0,1.0,0.0,0
18,SG_3_SOL_IDX_4,4,3,False,{'CUSTOM2': 5},{},3,1.0,1.0,0.0,0
19,SG_3_SOL_IDX_5,5,2,False,{'CUSTOM2': 6},{},3,1.0,1.0,0.0,0
20,SG_3_SOL_IDX_6,6,4,False,{'CUSTOM2': 6},{},3,1.0,1.0,0.0,0
21,SG_4_SOL_IDX_0,0,1,False,{'CUSTOM3': 3},{},3,1.0,1.0,0.0,0
22,SG_4_SOL_IDX_1,1,1,False,{'CUSTOM3': 4},{},3,1.0,1.0,0.0,0
23,SG_4_SOL_IDX_2,2,2,False,{'CUSTOM3': 4},{},3,1.0,1.0,0.0,0
24,SG_4_SOL_IDX_3,3,1,False,{'CUSTOM3': 5},{},3,1.0,1.0,0.0,0
25,SG_4_SOL_IDX_4,4,3,False,{'CUSTOM3': 5},{},3,1.0,1.0,0.0,0
26,SG_4_SOL_IDX_5,5,2,False,{'CUSTOM3': 6},{},3,1.0,1.0,0.0,0
27,SG_4_SOL_IDX_6,6,4,False,{'CUSTOM3': 6},{},3,1.0,1.0,0.0,0
28,SG_5_SOL_IDX_0,0,1,False,{'CUSTOM5': 3},{},3,1.0,1.0,0.0,0
29,SG_5_SOL_IDX_1,1,1,False,{'CUSTOM5': 4},{},3,1.0,1.0,0.0,0
30,SG_5_SOL_IDX_2,2,2,False,{'CUSTOM5': 4},{},3,1.0,1.0,0.0,0
31,SG_5_SOL_IDX_3,3,1,False,{'CUSTOM5': 5},{},3,1.0,1.0,0.0,0
32,SG_5_SOL_IDX_4,4,3,False,{'CUSTOM5': 5},{},3,1.0,1.0,0.0,0
33,SG_5_SOL_IDX_5,5,2,False,{'CUSTOM5': 6},{},3,1.0,1.0,0.0,0
34,SG_5_SOL_IDX_6,6,4,False,{'CUSTOM5': 6},{},3,1.0,1.0,0.0,0
35,SG_6_SOL_IDX_0,0,1,False,{'CUSTOM6': 3},{},3,1.0,1.0,0.0,0
36,SG_6_SOL_IDX_1,1,1,False,{'CUSTOM6': 4},{},3,1.0,1.0,0.0,0
37,SG_6_SOL_IDX_2,2,2,False,{'CUSTOM6': 4},{},3,1.0,1.0,0.0,0
38,SG_6_SOL_IDX_3,3,1,False,{'CUSTOM6': 5},{},3,1.0,1.0,0.0,0
39,SG_6_SOL_IDX_4,4,3,False,{'CUSTOM6': 5},{},3,1.0,1.0,0.0,0
40,SG_7_SOL_IDX_0,0,1,False,{'CUSTOM7': 3},{},3,1.0,1.0,0.0,0
41,SG_7_SOL_IDX_1,1,1,False,{'CUSTOM7': 4},{},3,1.0,1.0,0.0,0
42,SG_7_SOL_IDX_2,2,2,False,{'CUSTOM7': 4},{},3,1.0,1.0,0.0,0
43,SG_7_SOL_IDX_3,3,1,False,{'CUSTOM7': 5},{},3,1.0,1.0,0.0,0
44,SG_7_SOL_IDX_4,4,3,False,{'CUSTOM7': 5},{},3,1.0,1.0,0.0,0
45,SG_8_SOL_IDX_0,0,1,False,{'CUSTOM8': 3},{},3,1.0,1.0,0.0,0
46,SG_8_SOL_IDX_1,1,1,False,{'CUSTOM8': 4},{},3,1.0,1.0,0.0,0
47,SG_8_SOL_IDX_2,2,2,False,{'CUSTOM8': 4},{},3,1.0,1.0,0.0,0
48,SG_8_SOL_IDX_3,3,1,False,{'CUSTOM8': 5},{},3,1.0,1.0,0.0,0
49,SG_8_SOL_IDX_4,4,3,False,{'CUSTOM8': 5},{},3,1.0,1.0,0.0,0
50,SG_9_SOL_IDX_0,0,1,False,{'CUSTOM9': 3},{},3,1.0,1.0,0.0,0
51,SG_9_SOL_IDX_1,1,1,False,{'CUSTOM9': 4},{},3,1.0,1.0,0.0,0
52,SG_9_SOL_IDX_2,2,2,False,{'CUSTOM9': 4},{},3,1.0,1.0,0.0,0
53,SG_9_SOL_IDX_3,3,1,False,{'CUSTOM9': 5},{},3,1.0,1.0,0.0,0
54,SG_9_SOL_IDX_4,4,3,False,{'CUSTOM9': 5},{},3,1.0,1.0,0.0,0
55,SG_10_SOL_IDX_0,0,1,False,{'CUSTOM13': 3},{},3,1.0,1.0,0.0,0
